sci_name,com_name,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et
Osteocephalus taurinus,Osteocephalus taurinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osteocephalus,Osteocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osteopilus dominicensis,Hispaniolan Common Tree Frog,Amphibia,Hispaniola-Laubfrosch,Rana Platanera de La Española,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Treefrog,доминиканская квакша,Hispaniolan Common Tree Frog,rosnička dominikánská,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,доминиканска жаба,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Райка домініканська,多米尼加骨盔蛙,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog,Hispaniolan Common Tree Frog
Osteopilus ocellatus,Osteopilus ocellatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,Kuba-Laubfrosch,Rana Arborícola Cubana,Cuban Tree Frog,Rainette de Cuba,Cubaanse Boomkikker,Кубинская квакша,キューバズツキガエル,rosnička kubánská,Cuban Tree Frog,Perereca-cubana,Cuban Tree Frog,кубинска дървесна жаба,Kubansk lövgroda,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Райка кубинська,北方骨盔蛙,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog,Cuban Tree Frog
Otidiphaps nobilis,Pheasant Pigeon,Aves,Fasantaube,Paloma Faisán Cuelliverde,bażanciak,Otidiphaps noble,Fazantduif,Фазановый голубь,ゴクラクバト,holub horský,colom faisà de clatell verd,pheasant pigeon,fasandue,Фазанов гълъб,fasanduva,Fasandue,Gura Güvercini,bažantiak lesný,Fazanoliki golub,Палома,雉鸠,fasaanikyyhky,Paloma faisán cuelliverde,Paloma Faisán Cuelliverde,Paloma Faisán Cuelliverde,Pheasant pigeon,golub fazanaš,Fazaninis karvelis,کبوتر قرقاولی,Colomen ffesant,faasantuvi
Otis tarda,Great Bustard,Aves,Großtrappe,Avutarda Euroasiática,drop,Grande Outarde,Grote trap,Дрофа,ノガン,drop velký,pioc salvatge eurasiàtic,abetarda,stortrappe,Дропла,stortrapp,Stortrappe,Toy,drop veľký,Velika droplja,Дрохва євразійська,大鸨,isotrappi,Avutarda euroasiática,Avutarda Euroasiática,Avutarda Euroasiática,Abetarda,droplja,Didysis einis,میش‌مرغ,Ceiliog y waun,suurtrapp
Turdus mupinensis,Chinese Thrush,Aves,Chinasingdrossel,Zorzal Chino,drozd chiński,Grive de Verreaux,Mupinlijster,Китайский дрозд,チベットウタツグミ,drozd čínský,tord de la Xina,chinese thrush,kinatrost,Китайски дрозд,kinesisk trast,Kinesisk Sangdrossel,Çin Ardıcı,drozd tmavosluchý,Kineski drozd,Дрізд китайський,宝兴歌鸫,kiinanlaulurastas,Zorzal chino,Zorzal Chino,Zorzal Chino,Chinese thrush,kineski drozd,Kininis strazdas,توکای چینی,Bronfraith Mongolia,hiina laulurästas
Otolemur crassicaudatus,Brown Greater Galago,Mammalia,Großohrriesenbuschbaby,Gálago de cola ancha,Otolemur gruboogonowy,Galago à queue touffue,Dikstaartgalago,Толстохвостый галаго,オオガラゴ,komba velká,gàlag de cua gruixuda,Grande-galado,Tykkhalegalago,дебелоопашато галаго,Brown Greater Galago,storøret kæmpegalago,Brown Greater Galago,Brown Greater Galago,Brown Greater Galago,Brown Greater Galago,粗尾婴猴,isogalago,Brown Greater Galago,Brown Greater Galago,Brown Greater Galago,Brown Greater Galago,Brown Greater Galago,Storauodegis galagas,شبدوست بزرگ قهوهای,Brown Greater Galago,Brown Greater Galago
Otolemur garnettii,Small-eared Greater Galago,Mammalia,Kleinohrriesenbuschbaby,Gálago Mayor Septentrional,Otolemur drobnouchy,Small-eared Greater Galago,Garnetts Galago,Галаго Гарнетта,ガーネットガラゴ,komba Garnettova,gàlag de Garnett,Small-eared Greater Galago,Small-eared Greater Galago,гигантско галаго на Гарнет,Small-eared Greater Galago,Small-eared Greater Galago,Small-eared Greater Galago,Small-eared Greater Galago,Small-eared Greater Galago,Small-eared Greater Galago,小耳大婴猴,lyhytkorvagalago,Small-eared Greater Galago,Small-eared Greater Galago,Small-eared Greater Galago,Small-eared Greater Galago,Small-eared Greater Galago,Small-eared Greater Galago,شبدوست بزرگ شمالی,Small-eared Greater Galago,Small-eared Greater Galago
Otophryne pyburni,Otophryne pyburni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otophryne robusta,Otophryne robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spermophilus beecheyi,California ground squirrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otospermophilus douglasii,Douglas's Ground Squirrel,Mammalia,Douglas's Ground Squirrel,Ardilla Terrestre de Douglas,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Суслик Дугласа,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel,Douglas's Ground Squirrel
Spermophilus variegatus,rock squirrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otus alfredi,Flores Scops-Owl,Aves,Flores-Zwergohreule,Autillo de Flores,syczek rdzawy,Petit-duc de Florès,Floresdwergooruil,Флоресская совка,フロレスコノハズク,výreček floreský,xot de l'illa de Flores,flores scops-owl,floresugle,Флорески чухал,floresdvärguv,Flores Dværghornugle,Flores İshakkuşu,výrik floreský,Floreski ćuk,Сплюшка флореська,弗洛角鸮,floresinpöllönen,Autillo de Flores,Autillo de Flores,Autillo de Flores,Flores scops-owl,floreški ćuk,Floresinis apuokėlis,مرغ حق فلورس,Tylluan sgops Fflores,florese päll
Otus alius,Nicobar Scops-Owl,Aves,Nikobaren-Zwergohreule,Autillo de las Nicobar,syczek nikobarski,Petit-duc des Nicobar,Nicobarendwergooruil,Никобарская сплюшка,ニコバルコノハズク,výreček nikobarský,xot de Gran Nicobar,nicobar scops-owl,nikobarugle,Никобарски чухал,nikobardvärguv,Nicobar Dværghornugle,Nikobar İshakkuşu,výrik nikobarský,Nikobarski ćuk,Сплюшка нікобарська,尼科巴角鸮,nikobaarienpöllönen,Autillo de las Nicobar,Autillo de las Nicobar,Autillo de las Nicobar,Nicobar scops-owl,nikobarski ćuk,Nikobarinis apuokėlis,Nicobar Scops-Owl,Nicobar Scops-Owl,nicobari päll
Otus angelinae,Javan Scops-Owl,Aves,Angelina-Zwergohreule,Autillo de Java,syczek jawajski,Petit-duc de Java,Angelinadwergooruil,Яванская совка,ジャワコノハズク,výreček jávský,xot de Java,javan scops-owl,javaugle,Явански чухал,javadvärguv,Java Dværghornugle,Cava İshakkuşu,výrik jávsky,Javanski ćuk,Сплюшка яванська,爪哇角鸮,jaavanpöllönen,Autillo de Java,Autillo de Java,Autillo de Java,Javan scops-owl,javanski ćuk,Javinis apuokėlis,مرغ حق جاوه,Tylluan sgops Jafa,jaava päll
Otus bakkamoena,Indian Scops-Owl,Aves,Indien-Zwergohreule,Autillo Indio,syczek długouchy,Petit-duc indien,Indische dwergooruil,Индийская совка,インドオオコノハズク,výreček indický,xot de l'Índia,indian scops-owl,landsbyugle,Индийски чухал,indisk dvärguv,Halsbånds Dværghornugle,Hint İshakkuşu,výrik obojkový,Indijski ćuk,Сплюшка індійська,印度领角鸮,sepelpöllönen,Autillo indio,Autillo Indio,Autillo Indio,Indian scops-owl,ogrličasti ćuk,Indinis apuokėlis,جغد هندی شاعر,Tylluan sgops India,kaeluspäll
Otus balli,Andaman Scops-Owl,Aves,Andamanen-Zwergohreule,Autillo de las Andamán,syczek andamański,Petit-duc des Andaman,Andamanendwergooruil,Андаманская совка,アンダマンコノハズク,výreček andamanský,xot de les Andaman,andaman scops-owl,andamanugle,Андамански чухал,andamandvärguv,Andaman Dværghornugle,Andaman İshakkuşu,výrik andamanský,Andamanski ćuk,Сплюшка андаманська,安达曼角鸮,andamaanienpöllönen,Autillo de las Andamán,Autillo de las Andamán,Autillo de las Andamán,Andaman scops-owl,andamanski ćuk,Andamaninis apuokėlis,مرغ حق آندامان,Tylluan sgops Andaman,andamani päll
Otus beccarii,Biak Scops-Owl,Aves,Biak-Zwergohreule,Autillo de Biak,syczek papuaski,Petit-duc de Beccari,Biakdwergooruil,Биакская совка,ビアクコノハズク,výreček biacký,xot de Biak,biak scops-owl,biakugle,Биакски чухал,biakdvärguv,Papua Dværghornugle,Biak İshakkuşu,výrik biacky,Biački ćuk,Сплюшка біацька,比岛角鸮,biakinpöllönen,Autillo de Biak,Autillo de Biak,Autillo de Biak,Biak scops-owl,biački ćuk,Naujosios Gvinėjos apuokėlis,Biak Scops-Owl,Tylluan sgops Biak,biaki päll
Otus bikegila,Principe Scops-Owl,Aves,Príncipe-Zwergohreule,Autillo de Príncipe,syczek książęcy,Petit-duc de Principé,Principedwergooruil,Principe Scops-Owl,プリンシペコノハズク,výreček principeský,xot de Príncipe,mocho-d'orelhas-do-príncipe,principeugle,Принсипенски чухал,príncipedvärguv,Principe Dværghornugle,Prinsipe İshakkuşu,výrik princov,Ćuk sa ostrva Prinsipe,Сплюшка прінсіпійська,普林西比角鸮,Principe Scops-Owl,Autillo de Príncipe,Autillo de Príncipe,Autillo de Príncipe,Mocho-d'orelhas-do-príncipe,Principe Scops-Owl,Prinsipinis apuokėlis,مرغ حق پرنسیپ,Principe Scops-Owl,Principe Scops-Owl
Otus brookii,Rajah Scops-Owl,Aves,Radscha-Zwergohreule,Autillo Rajá,syczek białouchy,Petit-duc radjah,Radjahdwergooruil,Совка-раджа,ラジャーオオコノハズク,výreček sumaterský,xot raja,rajah scops-owl,rajaugle,Суматрански чухал,rajadvärguv,Hvidøret Dværghornugle,Raca İshakkuşu,výrik radža,Radžin ćuk,Сплюшка малазійська,拉氏角鸮,valkotupsupöllönen,Autillo rajá,Autillo Rajá,Autillo Rajá,Rajah scops-owl,indonezijski ćuk,Malajinis apuokėlis,مرغ حق راجه,Tylluan sgops Swmatra,mägipäll
Otus brucei,Pallid Scops-Owl,Aves,Streifen-Zwergohreule,Autillo Persa,syczek arabski,Petit-duc de Bruce,Gestreepte dwergooruil,Буланая совка,サバクミミズク,výreček plavý,xot de Bruce,mocho-d'orelhas-pálido,ravineugle,Блед чухал,blek dvärguv,Stribet Dværghornugle,Çizgili İshakkuşu,výrik bledý,Pustinjski ćuk,Сплюшка булана,纵纹角鸮,persianpöllönen,Autillo persa,Autillo Persa,Autillo Persa,Mocho-d'orelhas-pálido,prugasti ćuk,Dykuminis apuokėlis,مرغ حق جنوبی,Tylluan sgops resog Asia,helepäll
Otus capnodes,Anjouan Scops-Owl,Aves,Anjouan-Zwergohreule,Autillo de Anjouan,syczek krótkouchy,Petit-duc d'Anjouan,Anjouandwergooruil,Анжуанская сплюшка,アンジュアンコノハズク,výreček anjouanský,xot d'Anjouan,anjouan scops-owl,anjouanugle,Анжуански чухал,anjouandvärguv,Anjouan Dværghornugle,Anjuan İshakkuşu,výrik pískavý,Anžuanski ćuk,Сплюшка коморська,烟色角鸮,nzwaninpöllönen,Autillo de Anjouan,Autillo de Anjouan,Autillo de Anjouan,Anjouan scops-owl,anžuanski ćuk,Anžuaninis apuokėlis,Anjouan Scops-Owl,Anjouan Scops-Owl,tumepäll
Otus collari,Sangihe Scops-Owl,Aves,Sangihe-Zwergohreule,Autillo de Gran Sangir,syczek długoskrzydły,Petit-duc des Sangihe,Sangirdwergooruil,Сангихская сплюшка,サンギヘコノハズク,výreček sangižský,xot de Gran Sangihe,sangihe scops-owl,sangiheugle,Сангихенски чухал,sangihedvärguv,Sangihe Dværghornugle,Sangihe İshakkuşu,výrik dlhokrídly,Ćuk  sa arhipelaga Sangihe,Сплюшка сангезька,桑岛角鸮,sangihenpöllönen,Autillo de Gran Sangir,Autillo de Gran Sangir,Autillo de Gran Sangir,Sangihe scops-owl,sangiški ćuk,Sangihinis apuokėlis,Sangihe Scops-Owl,Sangihe Scops-Owl,sangihe päll
Otus cyprius,Cyprus Scops-Owl,Aves,Zypern-Zwergohreule,Autillo Chipriota,syczek cypryjski,Petit-duc de Chypre,Cypriotische dwergooruil,Кипрская сплюшка,キプロスコノハズク,výreček kyperský,xot de Xipre,mocho-d'orelhas-do-chipre,afroditeugle,Кипърски чухал,cyperndvärguv,Cypern Dværghornugle,Kıbrıs İshakkuşu,výrik cyperský,Kiparski ćuk,Сплюшка кіпрська,塞普路斯角鸮,kyproksenpöllönen,Autillo chipriota,Autillo Chipriota,Autillo Chipriota,Mocho-d'orelhas-do-chipre,ciparski ćuk,Kiprinis apuokėlis,مرغ حق قبرسی,Tylluan sgops Cyprus,Cyprus Scops-Owl
Otus elegans,Ryukyu Scops-Owl,Aves,Schmuck-Zwergohreule,Autillo Elegante,syczek wschodni,Petit-duc élégant,Ryukyudwergooruil,Рюкюйская сплюшка,リュウキュウコノハズク,výreček rjúkjúský,xot elegant,ryukyu scops-owl,ryukyuugle,Окинавски чухал,ryukyudvärguv,Ryukyu Dværghornugle,Ryukyu İshakkuşu,výrik pôvabný,Ćuk sa arhipelaga Rjukju,Сплюшка риукійська,琉球角鸮,riukiunpöllönen,Autillo elegante,Autillo Elegante,Autillo Elegante,Ryukyu scops-owl,riukiuški ćuk,Puikusis apuokėlis,Ryukyu Scops-Owl,Tylluan sgops Ryukyu,ryukyu päll
Otus everetti,Everett's Scops-Owl,Aves,Everett-Zwergohreule,Autillo Orejudo de Mindanao,syczek wyspowy,Petit-duc d'Everett,Everettdwergooruil,Минданаоская совка,エベレットコノハズク,výreček Everettův,xot d'Everett,everett's scops-owl,småfilippinerugle,Беловрат чухал,sydlig filippindvärguv,Everett´ Dværghornugle,Everett İshakkuşu,výrik Everettov,Everetov ćuk,Сплюшка самарська,埃氏角鸮,mindanaonsepelpöllönen,Autillo orejudo de Mindanao,Autillo Orejudo de Mindanao,Autillo Orejudo de Mindanao,Everett's scops-owl,kratkoprsti ćuk,Evereto apuokėlis,Everett's Scops-Owl,Everett's Scops-Owl,Everett's Scops-Owl
Otus senegalensis,African Scops-Owl,Aves,Afrika-Zwergohreule,Autillo Africano,syczek afrykański,Petit-duc africain,Afrikaanse dwergooruil,Африканская сплюшка,アフリカコノハズク,výreček africký,xot africà,mocho-d'orelhas-africano,akasieugle,Африкански чухал,afrikansk dvärguv,Savanne Dværghornugle,Afrika İshakkuşu,výrik africký,Afrički ćuk,Сплюшка африканська,非洲角鸮,afrikanpöllönen,Autillo africano,Autillo Africano,Autillo Africano,Mocho-d'orelhas-africano,afrički ćuk,Afrikinis apuokėlis,مرغ حق آفریقایی,Tylluan sgops Affrica,aafrika salupäll
Otus fuliginosus,Palawan Scops-Owl,Aves,Palawan-Zwergohreule,Autillo de Palawan,syczek palawański,Petit-duc de Palawan,Palawandwergooruil,Палаванская совка,パラワンオオコノハズク,výreček palawanský,xot de Palawan,palawan scops-owl,palawanugle,Палауански чухал,palawandvärguv,Palawan Dværghornugle,Palavan İshakkuşu,výrik palawanský,Palavanski ćuk,Сплюшка палаванська,巴拉旺角鸮,palawaninpöllönen,Autillo de Palawan,Autillo de Palawan,Autillo de Palawan,Palawan scops-owl,palavanski ćuk,Palavaninis apuokėlis,مرغ حق پالاوان,Tylluan sgops Palawan,palawani päll
Otus gurneyi,Giant Scops-Owl,Aves,Rot-Zwergohreule,Búho de Mindanao,syczek wielki,Petit-duc de Gurney,Grote dwergooruil,Гигантская совка,オニコノハズク,výreček obří,xot gegant,giant scops-owl,dråpeugle,Голям чухал,goliatdvärguv,Stor Dværghornugle,Gurney İshakkuşu,výrik veľký,Veliki ćuk,Сплюшка велика,巨角鸮,pisarapöllönen,Búho de Mindanao,Búho de Mindanao,Búho de Mindanao,Giant scops-owl,veliki ćuk,Didysis apuokėlis,مرغ حق بزرگ,Tylluan sgops gawraidd,hiidpäll
Otus hartlaubi,Sao Tome Scops-Owl,Aves,Hartlaub-Zwergohreule,Autillo de Santo Tomé,syczek groźny,Petit-duc de Sao Tomé,Hartlaubdwergooruil,Сантомейская сплюшка,サントメコノハズク,výreček svatotomášský,xot de São Tomé,sao tome scops-owl,saotomeugle,Саотомейски чухал,sãotomédvärguv,São Tomé-dværghornugle,Sao Tome İshakkuşu,výrik plantážový,Ćuk sa ostrva Sao Tome,Сплюшка сан-томейська,圣多美角鸮,sãotoménpöllönen,Autillo de Santo Tomé,Autillo de Santo Tomé,Autillo de Santo Tomé,Sao tome scops-owl,saotomski ćuk,Santominis apuokėlis,Sao Tome Scops-Owl,Tylluan sgops Saõ Tomé,são tomé päll
Otus icterorhynchus,Sandy Scops-Owl,Aves,Gelbschnabel-Zwergohreule,Autillo Piquigualdo,syczek cynamonowy,Petit-duc à bec jaune,Zandbruine dwergooruil,Желтоклювая сплюшка,アカヒメコノハズク,výreček skořicový,xot becgroc,sandy scops-owl,epifyttugle,Пясъчен чухал,västafrikansk dvärguv,Sandfarvet Dværghornugle,Sarı Gagalı İshakkuşu,výrik pieskový,Žutokljuni ćuk,Сплюшка жовтодзьоба,沙色角鸮,kanelipöllönen,Autillo piquigualdo,Autillo Piquigualdo,Autillo Piquigualdo,Sandy scops-owl,kamerunski ćuk,Smėlinis apuokėlis,مرغ حق شنی,Tylluan sgops winau,kaneelpäll
Otus insularis,Seychelles Scops-Owl,Aves,Seychellen-Zwergohreule,Autillo de las Seychelles,syczek seszelski,Petit-duc scieur,Seychellendwergooruil,Сейшельская совка,セーシェルコノハズク,výreček seychelský,xot de les Seychelles,seychelles scops-owl,mahéugle,Сейшелски чухал,seychelldvärguv,Seycheller Dværghornugle,Seyşeller İshakkuşu,výrik seychelský,Sejšelski ćuk,Сплюшка магейська,裸腿角鸮,seychellienpöllönen,Autillo de las Seychelles,Autillo de las Seychelles,Autillo de las Seychelles,Seychelles scops-owl,sejšelski ćuk,Seišelinis apuokėlis,Seychelles Scops-Owl,Tylluan sgops y Seychelles,seišelli päll
Otus ireneae,Sokoke Scops-Owl,Aves,Sokoke-Zwergohreule,Autillo del Sokoke,syczek brunatny,Petit-duc d'Irene,Sokokedwergooruil,Сококская сплюшка,ハイイロコノハズク,výreček keňský,xot de Sokoke,sokoke scops-owl,sokokeugle,Кенийски чухал,sokokedvärguv,Sokoke Dværghornugle,Sokoke İshakkuşu,výrik prímorský,Sokoke ćuk,Сплюшка кенійська,肯尼亚角鸮,sokokenpöllönen,Autillo del Sokoke,Autillo del Sokoke,Autillo del Sokoke,Sokoke scops-owl,kenijski ćuk,Keninis apuokėlis,مرغ حق سوکوکه,Tylluan sgops Sokoke,sokoke päll
Otus jolandae,Rinjani Scops-Owl,Aves,Lombok-Zwergohreule,Autillo del Rinjani,syczek kraterowy,Petit-duc de Lombok,Rinjanidwergooruil,Ломбокская совка,リンジャニコノハズク,výreček lombocký,xot de Lombok,rinjani scops-owl,lombokugle,Ломбокски чухал,lombokdvärguv,Lombok Dværghornugle,Rinjani İshakkuşu,výrik lombocký,Jolandin ćuk,Сплюшка ринджанська,林加尼山角鸮,Rinjani Scops-Owl,Autillo del Rinjani,Autillo del Rinjani,Autillo del Rinjani,Rinjani scops-owl,cimetastogrli ćuk,Lombokinis apuokėlis,Rinjani Scops-Owl,Rinjani Scops-Owl,lomboki päll
Otus lempiji,Sunda Scops-Owl,Aves,Sunda-Zwergohreule,Autillo de la Sonda,syczek obrożny,Petit-duc de la Sonde,Soendadwergooruil,Малайская совка,スンダオオコノハズク,výreček sundský,xot d'Indonèsia,sunda scops-owl,krageugle,Индонезийски чухал,sundadvärguv,Krave Dværghornugle,Sunda İshakkuşu,výrik lempidži,Sundski ćuk,Сплюшка калімантанська,巽他领角鸮,idänsepelpöllönen,Autillo de la Sonda,Autillo de la Sonda,Autillo de la Sonda,Sunda scops-owl,sundski ćuk,Sundinis apuokėlis,مرغ حق سوندا,Tylluan sgops dorchog,kagu-kaeluspäll
Otus lettia,Collared Scops-Owl,Aves,Halsband-Zwergohreule,Autillo Chino,syczek jasnolicy,Petit-duc à collier,Gekraagde dwergooruil,Ожереловая совка,ヒガシオオコノハズク,výreček indomalajský,xot de la Xina,collared scops-owl,halsbåndugle,Огърличест чухал,kinesisk dvärguv,Bagindisk Dværghornugle,Çin İshakkuşu,výrik goliernatý,Ogrličasti ćuk,Сплюшка бангладеська,领角鸮,Collared Scops-Owl,Autillo chino,Autillo Chino,Autillo Chino,Collared scops-owl,bjelouhi ćuk,Šviesiapilvis apuokėlis,مرغ حق طوقی,Collared Scops-Owl,ida-kaeluspäll
Otus longicornis,Luzon Scops-Owl,Aves,Luzon-Zwergohreule,Autillo de Luzón,syczek luzoński,Petit-duc longicorne,Luzondwergooruil,Лузонская сплюшка,ルソンコノハズク,výreček luzonský,xot de Luzon de muntanya,luzon scops-owl,luzonugle,Лусонски чухал,luzondvärguv,Luzon Dværghornugle,Luzon İshakkuşu,výrik luzonský,Luzonski ćuk,Сплюшка лусонська,吕宋角鸮,luzoninpöllönen,Autillo de Luzón,Autillo de Luzón,Autillo de Luzón,Luzon scops-owl,luzonski ćuk,Lusoninis apuokėlis,Luzon Scops-Owl,Tylluan sgops Luzon,luzoni päll
Otus madagascariensis,Torotoroka Scops Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otus magicus,Moluccan Scops-Owl,Aves,Molukken-Zwergohreule,Autillo Moluqueño,syczek molucki,Petit-duc mystérieux,Molukse dwergooruil,Молуккская совка,モルッカコノハズク,výreček molucký,xot de les Moluques,moluccan scops-owl,trollugle,Молукски чухал,moluckdvärguv,Molukdværghornugle,Maluku İshakkuşu,výrik molucký,Molučki ćuk,Сплюшка серамська,摩鹿加角鸮,molukkienpöllönen,Autillo moluqueño,Autillo Moluqueño,Autillo Moluqueño,Moluccan scops-owl,molučki ćuk,Molukinis apuokėlis,مرغ حق ملوکی,Tylluan Sgops Molwcaidd,maluku päll
Otus manadensis,Sulawesi Scops-Owl,Aves,Manado-Zwergohreule,Autillo de Célebes,syczek jasnobrzuchy,Petit-duc de Manado,Sulawesidwergooruil,Сулавесская сплюшка,スラウェシコノハズク,výreček celebeský,xot de Sulawesi,sulawesi scops-owl,sulawesiugle,Сулавески чухал,sulawesidvärguv,Sulawesi Dværghornugle,Selebes İshakkuşu,výrik svetlobruchý,Sulaveški ćuk,Сплюшка сулавеська,苏拉威西角鸮,celebesinpöllönen,Autillo de Célebes,Autillo de Célebes,Autillo de Célebes,Sulawesi scops-owl,sulaveški ćuk,Sulavesinis apuokėlis,Sulawesi Scops-Owl,Tylluan sgops Swlawesi,sulawesi päll
Otus mantananensis,Mantanani Scops-Owl,Aves,Mantanani-Zwergohreule,Autillo de Isla Mantanani,syczek rafowy,Petit-duc de Mantanani,Mantananidwergooruil,Мантананийская совка,ボルネオコノハズク,výreček suluský,xot de les Mantanani,mantanani scops-owl,suluugle,Мантананийски чухал,mantananidvärguv,Mantanani Dværghornugle,Mantanani İshakkuşu,výrik kokosový,Mantananski ćuk,Сплюшка мантананійська,南菲律宾角鸮,filippiinienkyläpöllönen,Autillo de isla Mantanani,Autillo de Isla Mantanani,Autillo de Isla Mantanani,Mantanani scops-owl,suluski ćuk,Mantananinis apuokėlis,مرغ حق مانتانانی,Tylluan sgops Mantanani,kookosepäll
Otus megalotis,Philippine Scops-Owl,Aves,Philippinen-Zwergohreule,Autillo Orejudo de Luzón,syczek duży,Petit-duc de Luçon,Filipijnse dwergooruil,Филиппинская совка,ルソンオオコノハズク,výreček filipínský,xot de Luzon de plana,philippine scops-owl,storfilippinerugle,Филипински чухал,nordlig filippindvärguv,Filippinsk Dværghornugle,Filipin İshakkuşu,výrik červenooký,Filipinski ćuk,Сплюшка філіпінська,菲律宾角鸮,filippiinienpöllönen,Autillo orejudo de Luzón,Autillo Orejudo de Luzón,Autillo Orejudo de Luzón,Philippine scops-owl,filipinski ćuk,Filipininis apuokėlis,مرغ حق فیلیپینی,Tylluan sgops y Philipinau,suur-kaeluspäll
Otus mendeni,Banggai Scops-Owl,Aves,Banggai-Zwergohreule,Autillo de las Banggai,syczek zmienny,Petit-duc des Banggai,Banggaidwergooruil,Banggai Scops-Owl,バンガイコノハズク,výreček banggaiský,xot de les Banggai,banggai scops-owl,banggaiugle,Бангайски чухал,banggaidvärguv,Banggai Dværghornugle,Peleng İshakkuşu,výrik pelengský,Ćuk sa Bangaija,Сплюшка бангайська,邦盖角鸮,Banggai Scops-Owl,Autillo de las Banggai,Autillo de las Banggai,Autillo de las Banggai,Banggai scops-owl,bangajski ćuk,Banggai Scops-Owl,Banggai Scops-Owl,Banggai Scops-Owl,banggai päll
Otus mentawi,Mentawai Scops-Owl,Aves,Mentawi-Zwergohreule,Autillo de las Mentawai,syczek atolowy,Petit-duc des Mentawai,Siporadwergooruil,Ментавайская совка,メンタワイオオコノハズク,výreček mentavajský,xot de les Mentawai,mentawai scops-owl,mentawaiugle,Ментауийски чухал,mentawaidvärguv,Sipura Dværghornugle,Mentavai İshakkuşu,výrik mentavajský,Mentavajski ćuk,Сплюшка атолова,明岛领角鸮,siporanpöllönen,Autillo de las Mentawai,Autillo de las Mentawai,Autillo de las Mentawai,Mentawai scops-owl,mentavajski ćuk,Sumatrinis apuokėlis,مرغ حق منتاوای,Tylluan sgops Mentawai,mentawai päll
Otus mirus,Mindanao Scops-Owl,Aves,Mindanao-Zwergohreule,Autillo de Mindanao,syczek osobliwy,Petit-duc de Mindanao,Mindanaodwergooruil,Минданаоская сплюшка,ミンダナオコノハズク,výreček mindanajský,xot de Mindanao,mindanao scops-owl,mindanaougle,Минданаоски чухал,mindanaodvärguv,Mindanao Dværghornugle,Mindanao İshakkuşu,výrik mindanajský,Ćuk sa ostrva Mindanao,Сплюшка мінданайська,棉兰角鸮,mindanaonpöllönen,Autillo de Mindanao,Autillo de Mindanao,Autillo de Mindanao,Mindanao scops-owl,mindanaoski ćuk,Mindanajinis apuokėlis,Mindanao Scops-Owl,Tylluan sgops Mindanao,mindanao päll
